,match,team,alliance,leave,"ground pick-up","center line pick-up","auto scoring","teleop scoring","stage level",spotlight,"stage time","brick time","defense time","driver skill","defense skill",speed,stability,"intake consistency",scouter,comments,accuracy,timestamp
26,63,2r,red,false,false,false,"[am, am, as, as, as, sm]","[as, as, as, as, as, as, as, as, am, am, ss, ss, ss, sm, sa, ts]",2,true,0,4000,3000,0,0,4,3,2,"ciaran (247)","",,1707264177382
27,64,1r,red,true,true,true,"[ss, ss, ss]","[as, as, as, sa, sa, sa, ss, ss, ss, ss, ts]",1,false,3000,4900,12000,2,2,3,2,4,"vuk (7688)","",,1707283356089
28,2,1b,blue,true,true,true,"[as, as, am, am, am, am, ss, ss, ss, ss, sm, sm, as, as, as, as]","[]",0,false,0,73250,0,4,2,3,2,0,"mr. price (245)","",,1707433896306
29,4,3b,blue,false,true,false,"[ss, sm]","[ss, ss, sa, sa]",0,false,0,0,0,2,2,2,2,2,"mr. price (245)","",,1707438909246
30,65,2r,red,true,false,false,"[as, as, as, am, ss, ss, sm]","[as, as, as, am, ss, ss, ss, sa, sm, sm, ts, ts, ts, tm]",2,false,0,0,0,0,0,0,0,0,"ktraute (247)","",,1707438945284
31,66,2r,red,true,false,false,"[ss]","[ss]",1,false,0,0,0,1,0,2,1,2,"wayne (6060)","Robot broke down?",,1707591776926
32,67,3r,red,true,false,false,"[ss]","[sm, sm, ss]",1,false,0,5000,0,0,0,1,2,1,"wayne (6060)","",,1707592221656
33,68,2b,blue,true,false,false,"[sm]","[sm, ss, ss, sm, ss]",2,true,4000,13400,0,3,1,2,3,2,"wayne (6060)","",,1707592548090
34,69,2b,blue,true,true,true,"[]","[]",3,false,11000,0,0,0,0,0,0,0,"aarya y (245)","",,1708042714339
35,70,1r,red,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"alex (8404)","",,1708102306638
36,71,1b,blue,true,true,true,"[am, am, am, am, as, as, ss, ss, sm]","[as, as, as, as, as, as, as, as, as, as, am, am, am, ss, ss, ss, ss, ss, sa, sa, sa, sa, sm, sm, ts, tm, tm]",2,true,29850,6550,0,4,0,3,2,2,"shivani (303)","cycle time v fast\ndrives fast\nhas trouble intaking from source\ncan pick up from ground and source\ncan only score when right up against speaker",,1708118043600
37,1,1r,red,true,true,false,"[]","[as, as, ss, as]",1,false,0,0,0,0,0,0,0,0,"olie (3986)","",,1708226171787
38,72,1r,red,false,false,false,"[ss, sm, as, as, as]","[]",1,false,0,3050,0,4,3,1,2,1,"spicegears (5883)","",,1708363345239
39,74,1r,red,false,false,false,"[as, as, as]","[]",0,false,0,0,0,0,0,0,0,0,"spicegears (5883)","",,1708363390916
40,75,1r,red,false,false,false,"[]","[]",0,false,0,1450,0,0,0,0,0,0,"mtaheri (1418)","",,1708464848824
41,76,2r,red,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"mtaheri (1418)","",,1708464926691
42,75,2b,blue,false,false,false,"[]","[ss, sm, ss, as]",0,false,0,0,0,0,0,0,0,0,"zane (1418)","238- Spinning around, trying to shake of game piece. The autonomus was better than the driver.",,1708465430318
43,75,1b,blue,true,false,false,"[sm, sm, ss]","[]",0,false,0,0,0,0,0,0,0,0,"karol (1418)","",,1708465430833
44,77,1b,blue,false,false,false,"[as, as]","[ss, sm, as, am, am]",0,false,0,13900,0,1,2,3,3,2,"zane (1418)","238 They moved around to fast without picking up enough stuff.",,1708465680169
45,77,1b,blue,true,true,true,"[ss, ss]","[sm, sm, sa, as]",0,false,0,0,0,0,0,4,0,2,"karol (1418)","",,1708466200292
46,78,1b,blue,false,false,false,"[]","[ss, as, as]",0,false,0,12800,0,1,0,3,2,0,"zane (1418)","58- Sold the bag. They can't pull if they had the gravity of the sun on their side. ",,1708466245922
47,75,1b,blue,true,true,false,"[sm]","[sm]",0,false,0,0,0,0,0,4,4,1,"alec (1418)","terrible  ",,1708466263538
48,79,1r,red,true,true,false,"[]","[as, as, ss, ss, ss, ss, ss, ss]",0,false,0,0,0,4,4,4,4,4,"alec (1418)","amazing",,1708466480206
49,77,1b,blue,false,false,false,"[]","[]",0,false,0,96400,0,0,0,0,0,0,"karol (1418)","",,1708466498122
50,79,2b,blue,false,false,false,"[sm, sm]","[as, as, ss, ss]",0,false,1300,25650,0,2,1,2,3,2,"zane (1418)","2370- They did good and got points.",,1708466503293
51,80,1r,red,false,true,false,"[]","[sm, sm, ss]",0,false,0,0,0,0,0,0,0,0,"alec (1418)","very medium; not very good but not terrible",,1708466698081
52,80,1b,blue,false,false,false,"[ss]","[ss, ss, as, ts]",0,false,0,18450,0,2,2,3,3,2,"zane (1418)","131",,1708466719929
53,77,1b,blue,true,true,true,"[ss]","[ss, ss, ss, ss, sm, sm, sm, sm, sm, sm]",2,false,950,0,0,3,2,2,4,1,"karol (1418)","keeps slipping out of shooter",,1708466974846
54,81,1r,red,false,true,false,"[]","[ss, sm, sm, sm]",0,false,0,0,0,0,0,0,0,0,"alec (1418)","",,1708467014397
55,81,3b,blue,false,false,false,"[]","[as, as, sm, sm, am, sa, sa]",0,false,0,19200,0,2,3,2,3,1,"zane (1418)","5687- Kept slipping out of the shooter.",,1708467172226
56,4,1r,red,true,true,false,"[am, am, as, as, ss, ss, ss, ss, sm]","[sa, sa, ss, sm, as, as, as, am, am, tm, ts, ts, ts]",1,true,2600,4000,0,4,3,2,3,2,"mobile2 (303)","",,1708554301520
57,1,1r,red,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"libertyrobotics (1764)","",,1708622504430
58,82,1r,red,true,true,true,"[ss, ss, ss, ss]","[ss, ss, ss, ss, ss, sa, sa, sa, sa, sa, sa, sa, sa, sa, ss, ss, sm, sm, sm, sm, as, as, as, as, as, as, as, am, am, ts]",2,true,8900,5350,10650,4,3,4,3,4,"mattie n (5002)","very good",,1708645055979
59,83,1r,red,true,true,true,"[as, as, as, as, ss, ss]","[as, as, as, as, as, as, as, am, as, as, sa, sa, sa, ss, ts, ts]",3,true,600,1400,0,4,3,3,2,2,"joot49 (9033)","",,1708646792994
60,84,1r,red,true,true,false,"[as, as, ss, ss]","[am, am, am, am, as, as, ss, sa, sa, sm, ts]",3,true,3500,0,0,4,4,1,0,2,"josh (9033)","9033",,1708647176648
61,84,2b,blue,true,true,false,"[ss, ss, sm, as, as]","[as, as, ss, sa, sa, sm, ts]",2,true,4800,0,0,3,1,3,2,4,"josh (9033)","8230\n",,1708647536996
62,3,1r,red,true,false,false,"[]","[]",0,false,0,7050,0,1,1,0,3,1,"isaac cavegn (2472)","Mostly moving very little, tried to pick up a note, but unsuccesful.",,1708649972145
63,4,2r,red,true,true,false,"[ss, ss, ss]","[ss, ss, ss, ss, ss, ss, ss, sm]",0,false,2400,0,0,3,2,3,3,4,"daniel (2472)","",,1708650228293
64,4,2b,blue,false,true,false,"[]","[ss, ss]",0,false,0,104200,0,0,0,0,0,0,"scouter (2472)","",,1708650236252
65,4,1r,red,false,true,false,"[ss]","[ss, ss, ss, ss, ss]",0,false,0,0,0,3,0,2,4,4,"isaac cavegn (2472)","",,1708650240571
66,5,2r,red,false,false,false,"[sm]","[]",1,false,0,50850,0,1,0,0,0,0,"daniel (2472)","",,1708650449253
67,5,2b,blue,true,true,false,"[sm, ss]","[am]",2,false,0,0,40150,2,2,1,0,0,"scouter (2472)","",,1708650452796
68,5,1r,red,false,false,false,"[]","[]",0,false,0,13700,0,2,1,2,2,0,"isaac cavegn (2472)","",,1708650482137
69,6,2r,red,true,false,false,"[]","[]",1,false,0,0,24450,0,0,0,0,0,"daniel (2472)","",,1708650710879
70,6,2b,blue,false,false,false,"[]","[]",0,false,0,62150,59700,2,3,1,0,0,"scouter (2472)","",,1708650749328
71,6,1r,red,true,false,false,"[ss]","[ss]",0,false,0,9600,69600,4,4,3,4,0,"isaac cavegn (2472)","",,1708650756138
72,1,3b,blue,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"ava (5842)","The robot didn’t end up showing up, kinda lame.. 🥱",,1708716748153
73,85,2b,blue,false,true,false,"[as, as, am, ss, ss, sm]","[as, as, as, am, ss, ss, sa, ts, ts, ts]",2,true,1000,3000,1000,2,0,3,1,3,"eryn (245)","",,1708790314666
74,1,1r,red,true,true,true,"[]","[as, as, as, as, am, am, sa, sm, as]",2,true,19950,5800,0,2,0,1,4,3,"impact (2585)","",,1708882354927
75,86,1r,red,false,true,false,"[as, as, as, ss, ss, ss]","[]",2,false,0,1550,1000,0,0,0,0,0,"idreesahmad (2175)","",,1708909180988
76,87,1r,red,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"xenpittman (1764)","",,1708961808641
77,1,1r,red,true,true,false,"[]","[as, am]",2,false,10900,0,0,3,0,2,3,1,"pietro (9180)","",,1708994569772
78,62,1r,red,true,true,false,"[ss, ss, ss]","[as, ss, sa, as, ss, as, sa, ss, sa]",2,false,6750,0,0,4,0,4,4,4,"lynx (9180)","1690 - dropped notes to save for amplification ",,1708995027897
79,86,1r,red,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"s (5507)","",,1708995530324
80,2,2r,red,true,true,false,"[ss]","[as, as, am, ss, sm, sa, ts]",3,false,3750,0,0,3,0,3,2,3,"julian (9180)","",,1708998377441
81,88,2r,red,true,true,false,"[ss, ss, sm, as]","[am, am, am, am, am, as, as, as, as, as, as, as, as, as, as, as, as, ss, ss, sm, ts, ts]",2,true,7000,1600,9600,3,0,2,1,4,"amesamperes (3243)","",,1709007312307
82,89,2r,red,true,true,true,"[sm, ss, ss]","[as, am, ss, ss, ss, ss, ss, sa, sm, ts]",2,true,2650,56000,1500,2,1,3,1,2,"verfsnerf (100)","",,1709053657485
83,90,3b,blue,false,false,false,"[as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as, as]","[]",0,false,0,0,0,0,0,0,0,0,"amesamperes (3243)","",,1709083723524
84,91,1r,red,false,false,false,"[am, am, am, am, as, as]","[ts, ts, ts, sa, sa, sa, sa, sm]",0,false,0,7350,0,0,0,0,0,0,"amesamperes (3243)","",,1709083863229
85,92,3b,blue,true,true,true,"[ss, sm]","[as, am, ss, ss, ss, ss, ss, sa, sa, sm, sm]",2,false,5000,10200,11500,0,0,0,0,0,"vert (100)","Cool LEDs\ncrashed\n",,1709088661060
86,93,1r,red,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"jocelyn (5842)","",,1709180784222
87,10,2b,blue,true,true,false,"[ss, ss]","[ss, ss, sm, ss, ss]",1,false,1900,0,0,4,1,4,3,3,"aidan (5842)","Fast asl\nGrabbed stuff from red side quickly\n8775\nOnly missed once\nDidn’t try defending",,1709234467267
88,11,3b,blue,false,true,false,"[]","[sm, sm, sm, sm, ss, sm]",2,false,0,0,0,2,0,3,2,3,"aidan (5842)","Missed most of the time, and Auto was non existent\n4206\nDid have a interesting method of hanging on stage ",,1709235032995
89,11,3b,blue,false,true,false,"[]","[sm, sm, sm, sm, ss, sm]",2,false,0,0,0,2,0,3,2,3,"aidan (5842)","Missed most of the time, and Auto was non existent\n4206\nDid have a interesting method of hanging on stage ",,1709235033223
90,11,3b,blue,false,true,false,"[]","[sm, sm, sm, sm, ss, sm]",2,false,0,0,0,2,0,3,2,3,"aidan (5842)","Missed most of the time, and Auto was non existent\n4206\nDid have a interesting method of hanging on stage ",,1709235033238
91,11,3b,blue,false,true,false,"[]","[sm, sm, sm, sm, ss, sm]",2,false,0,0,0,2,0,3,2,3,"aidan (5842)","Missed most of the time, and Auto was non existent\n4206\nDid have a interesting method of hanging on stage ",,1709235033278
92,94,1r,red,true,true,false,"[am, ss, ss, as]","[ts, sa, sa]",1,true,0,0,0,0,0,0,0,0,"1908 (1908)","",,1709235214527
93,12,2b,blue,false,false,false,"[]","[sm]",0,false,0,0,0,1,0,2,3,0,"jack long (5842)","Note got stuck on drive train early. Barely did anything.",,1709235880039
94,12,3r,red,true,true,false,"[]","[ss]",2,true,14600,0,0,2,1,1,1,1,"nick doyle (5842)","team: 9402\nbot is an everybot design, a note got stuck under a wheel so the bot hung early ",,1709235916146
95,12,2r,red,false,false,false,"[]","[sm, sm, sm]",0,false,0,0,0,2,0,2,4,0,"dexter (5842)","Movement looks clunky (team 6137) doesn’t look like its strong enough to do stage but they tried",,1709235977682
96,13,2r,red,false,false,false,"[]","[sm, sm, ss]",1,false,0,0,0,0,0,0,0,0,"nick doyle (5842)","9725\n",,1709236998731
97,12,1b,blue,true,false,false,"[]","[]",1,false,0,450,2050,0,2,2,0,0,"aidan (5842)","9404\n-Auto was terrible looked like stick drift \n-I didn’t see it pick up anything or shoot anything \n-did some defense since it couldn’t do nothing \n-driver was trash, defense might’ve been accidental ☠️\n",,1709237047568
98,95,1r,red,true,true,true,"[as, as, am, ss, ss, sm, sm]","[as, as, as, as, as, am, am, ss, ss, ss, sa, sa, sa, sa, sa, sm, sm, sm, sm, sm, sm, sm]",2,false,0,0,0,4,4,4,4,4,"dante (4940)","This was a test",,1709237352557
99,14,1r,red,true,true,false,"[sm, ss]","[ss]",2,false,0,0,0,2,0,2,1,2,"nick doyle (5842)","2383\nBot climbed early, potential mechanical failure",,1709237522036
100,14,2b,blue,false,true,false,"[]","[ss]",0,false,0,0,0,1,0,3,2,0,"aidan (5842)","348\nNo auto \nman scored once and like tapped out or something ",,1709237575281
101,15,1r,red,false,true,false,"[]","[ss, sm, sm, ss]",0,false,0,0,0,1,0,1,1,2,"nick doyle (5842)","9402\n",,1709238048247
102,15,1b,blue,true,true,false,"[]","[ss, as, ss, as, sm, as, tm]",2,false,3150,0,0,3,0,3,3,4,"aidan (5842)","5557\nJust moved in auto \nBest arm/intake system so far in my opinion \nScored AMP a lot",,1709238090994
103,16,1b,blue,true,true,false,"[]","[]",1,false,0,0,0,0,1,2,0,0,"nick doyle (5842)","806\nBot struggled to pick up a note, and then got note stuck inside itself",,1709238828708
104,16,2b,blue,true,true,false,"[ss]","[sm, ss, ss]",1,false,1150,0,3100,2,1,2,3,3,"aidan (5842)","6317\n-good intake and shooter but mid driver\n-only got defense time since red team was being the aggressor \n-almost grabbed onto the chain but ran out of time\n-auto was aight",,1709238910714
105,17,1b,blue,true,true,false,"[]","[ss, ss, ss]",2,false,2350,0,0,2,1,2,1,0,"nick doyle (5842)","8775 \nBot scored consistently but struggled with ground pick up ",,1709239443612
106,18,3b,blue,true,false,false,"[]","[sm, am]",1,false,2600,0,0,2,0,2,2,1,"nick doyle (5842)","9040",,1709239890749
107,18,2b,blue,false,false,false,"[]","[as, sm]",2,false,0,0,1000,2,1,2,2,1,"aidan (5842)","7652\n-Mid driver, no ground pick up\n-It hooked on chain and mostly off the ground but not fully ",,1709239894857
108,19,2b,blue,false,true,false,"[]","[]",1,true,0,0,13100,3,2,2,2,2,"nick doyle (5842)","59\nBot has good ground pick up, shooter seems to be malfunctioning so driver  collected notes for allies to score with ",,1709240464839
109,20,3b,blue,true,false,false,"[]","[]",1,false,0,0,0,1,0,1,0,0,"nick doyle (5842)","694 \nBot was mostly immobile most of the match",,1709241356718
110,21,3b,blue,false,true,false,"[]","[sm, ss, sa, ss, sm, ss, as]",1,false,0,0,0,3,0,2,2,3,"nick doyle (5842)","8817\n",,1709242467174
111,22,2b,blue,true,true,false,"[]","[as, as, as]",0,false,0,0,0,1,0,1,2,2,"nick doyle (5842)","744\nmovements were shaky and slow",,1709243566795
112,23,2b,blue,true,true,false,"[]","[ss, sm, ss, sm, sm, sm, ss, sm]",1,false,2450,0,2450,2,1,3,2,3,"nick doyle (5842)","3932\nBot would likely have been on stage but timer ran out",,1709244064357
113,24,2b,blue,false,true,false,"[]","[sm]",1,true,0,0,24750,3,3,2,2,2,"nick doyle (5842)","5410 \nShooter seemed to have issues so they switched to defense, bot is similar to ours",,1709244585326
114,25,2b,blue,false,true,false,"[]","[sm, ss, ss, ss, sm]",1,false,0,0,0,2,1,2,2,2,"nick doyle (5842)","4388\n",,1709245352858
115,26,2b,blue,false,false,false,"[]","[ss]",2,false,0,0,0,2,0,2,2,2,"nick doyle (5842)","6300\nanother bot landed a note on scouted bot, which resulted in penalty points being accrued",,1709245818966
116,27,1b,blue,true,true,false,"[]","[ss, ss, ss, ss, ss, sm, sa, ss, sm, ss]",2,true,4100,0,0,4,0,3,3,4,"nick doyle (5842)","4206\nbot moved extremely fluidly, and was notably accurate",,1709246420215
117,28,3r,red,true,false,false,"[]","[]",2,true,3050,0,59500,3,4,2,2,0,"nick doyle (5842)","108\ndriver seemed to notice issues with intake/ shooter very quickly and shifted to defense, and was able to slow down the enemy significantly, including pinning 179 (Swamp) three times",,1709247073223
118,29,1b,blue,false,false,false,"[]","[]",0,false,0,0,23700,2,1,1,0,0,"nick doyle (5842)","6686\nBot played defense most of the game, didn't seem to have any other capabilities",,1709247767840
119,30,3b,blue,true,true,false,"[]","[sm]",0,false,0,0,0,0,0,1,1,1,"nick doyle (5842)","348\ndriver seems to have difficulty controlling robot, potentially inexperienced, or technical difficulties ",,1709248459340
120,31,3b,blue,true,false,false,"[]","[]",1,true,0,0,0,1,0,0,0,0,"nick doyle (5842)","3390\nbot lost connection shortly after teleop began, reason unknown, regained connection during endgame phase",,1709249029312
121,1,1r,red,true,true,true,"[as, as, ss, ss, as]","[]",0,false,0,0,0,2,0,0,0,0,"jah (9569)","",,1709258361535
122,96,2r,red,false,false,false,"[sm, sm, sm, sm]","[tm, tm, tm, tm]",0,false,800,0,0,0,0,0,0,0,"test (840)","",,1709259384889
123,97,2r,red,true,true,true,"[ss, ss]","[]",0,false,0,0,0,0,0,0,0,0,"laceypeycke (1764)","",,1709301463863
124,97,3b,blue,false,true,false,"[]","[as, am, am, tm, tm, tm]",0,false,0,15000,6000,2,2,3,4,2,"tvarika (245)","Doesn't score that well",,1709301501016
125,97,2r,red,false,false,false,"[]","[sm]",0,false,0,19750,0,0,0,0,2,0,"eryn (245)","Missed and can't load well",,1709301586819
126,155,2b,blue,true,true,false,"[ss]","[ss, sm, sm, sm, ss, ss, ss]",0,false,0,2000,0,2,0,3,3,2,"meghana (245)","",,1709301781833
127,98,2r,red,false,true,false,"[]","[as]",2,false,0,11800,0,0,0,0,0,1,"eryn (245)","",,1709302555818
128,156,2b,blue,true,true,false,"[ss, sm]","[sm, sm, sm, sm, sm, as, as]",2,false,0,0,0,1,0,2,0,1,"meghana (245)","",,1709302619679
129,157,2b,blue,true,true,false,"[]","[ss, ss, ss, ss, sm, sm, ss, sm, ss, ss, ss]",2,false,0,0,0,3,1,2,2,4,"andrewr (9081)","8576. Good swerve, inconsistent power on shot",,1709306976634
130,157,3b,blue,true,true,false,"[]","[ss, sm, sm, sm, sm, sm]",0,false,0,1000,0,1,1,2,1,3,"clairedurso (9081)","624",,1709306977822
131,157,2r,red,true,true,false,"[]","[ss, ss, ss]",2,false,0,18100,0,3,1,3,3,4,"kaiden (9081)","They are pretty good ig\nDidn’t defend this round, probably could though",,1709307047763
132,157,1r,red,false,true,false,"[]","[ss, sm]",1,false,0,0,0,0,0,1,3,1,"siphon (9081)","Team 8515 not great in practice round",,1709307048127
133,157,3r,red,true,true,false,"[]","[ss, ss, ss, ss, ss, sm, ss, ss, sm]",2,false,0,0,0,3,1,2,4,4,"nathan (9081)","I loved it, really good and they were really good at shooting the notes and they were good at maneuvering the playing field. Definitely a good choice for a teammate.",,1709307065155
134,158,3b,blue,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"clairedurso (9081)","6488",,1709307840839
135,158,2r,red,true,true,false,"[sm, sm]","[ss, sm, sm, ss, sm, sm]",1,false,0,20400,0,0,1,2,2,1,"kaiden (9081)","Slow downs a lot for intake\nCan’t make a shot consistently, note barely goes far enough to make it in.\nDrivers are mid\n",,1709307907204
136,158,1b,blue,true,false,false,"[]","[ss, sm, sm, ss, ss]",1,false,0,18500,0,0,0,1,2,2,"aidanmcintyre (9081)","7492, stopped moving at several points doing nothing",,1709307911410
137,158,3r,red,true,true,false,"[]","[sm]",0,false,0,0,0,0,1,1,0,1,"nathan (9081)","Not good, I think maybe the bindings were off but if they weren’t then this robot is kinda bad.",,1709307916326
138,158,2b,blue,true,true,false,"[sm]","[ss, ss, ss, ss, ss, ss, sm, ss, sm, sm, ss]",1,false,0,1350,0,3,0,2,4,4,"andrewr (9081)","Team 8576. Inconsistent shot. Everybot, can only shoot from limited places",,1709307969077
139,159,3b,blue,false,true,true,"[]","[as, as]",0,false,0,9750,0,2,0,2,4,3,"clairedurso (9081)","8515",,1709308662516
140,159,2r,red,true,true,false,"[]","[ss, ss, sm, sm, ss, sm]",1,false,0,15000,0,2,0,2,2,3,"kaiden (9081)","Team 7312\nMissed quite a few\nDid better than previous practice round though",,1709308681412
141,159,3r,red,false,false,false,"[]","[sm, sm]",0,false,0,15000,0,0,0,1,0,0,"nathan (9081)","9521, uhhhh i don’t know what was going on but none of it was good they need a way better driver if they want a chance",,1709308681860
142,159,1b,blue,false,true,false,"[]","[]",2,false,48250,27250,0,0,0,0,0,0,"aidanmcintyre (9081)","1477, robot was shaking and moving very slowly across the field. Stopped at various points before eventually just going to hang on stage.",,1709308696886
143,159,2b,blue,true,false,false,"[ss]","[as, as, sa, ss, sm, ss, ss, sm]",2,false,3500,0,0,2,1,3,4,4,"andrewr (9081)","Team 6439. Fixed trajectory, inconsistent power. Can score in the amp, they scored one amplified note. Did not use coopertition",,1709308709512
144,159,1r,red,false,false,false,"[]","[sm, ss, sm, ss, ss, sm, ss, ss, ss, sa]",2,false,0,15300,0,3,2,3,3,4,"siphon (9081)","2582\nVery good pick up speed and driving ability",,1709308729414
145,160,2r,red,true,true,false,"[sm]","[ss, sm, ss, sm, ss, ss, ss, ss, sm, ss, sm, ss]",2,false,0,0,0,0,0,0,0,0,"kaiden (9081)","Team 8576\nThese guys are pretty good.\nGood power and accuracy, pretty fast, and didn’t have trouble picking up from the ground\nThey can also hang",,1709309576334
